"cod_mun","Municipio","pobreza_monetaria","error_estandar","varianza_pobreza","cvlog","pct_indigena_2024","pct_afro_2024","pct_menores15_2024","indice_envejecimiento_2024","pob_total","pct_rural","pct_urbano","tasa_dependencia","categoria_617","cat_ruralidad","extension","densidad_2024","var_intercensal","idf_2024","cobertura_educ_2024","desercion_2024","analfabetismo_2018","analfabetismo_rural_2018","saber11_mate_2022","saber11_lectura_2022","empresas_formales_2016","pct_ocupados_form_2016","pct_primario_2023","pct_secundario_2023","pct_terciario_2023","peso_relativo_2023","tasa_mortalidad_2020","mort_materna_2020","mort_infantil_1a_2020","cobertura_pentavalente_2020","bajo_peso_2020","control_prenatal_4_2020","promedio_prenatales_2020","mort_infantil_5a_2020","mort_eda_2020","mort_ira_2020","mort_desnutricion_2020","fecundidad_15_19_2020","mort_neonatal_2020","partos_calificados_2020","tasa_hurto_2019","tasa_homicidios_2019","tasa_extorsion_2019","tasa_violencia_intra_2019","recaudo_predial_2020","pct_predios_urb_2022","pct_predios_rur_2022","acueducto_2018","alcantarillado_2018","energia_2018","internet_2018","iica_2023","dist_popayan_km","dist_cali_km","dist_capital_km","dist_carretera_km","snap_km","aislado_vial","pdet","coca_pct_territorio","desplaz_tasa_1000","victimas_tasa_1000","cotizantes_tasa_1000","pagos_admin_pc","pagos_educacion_pc","pagos_salud_pc","pagos_serv_publicos_pc","pagos_total_pc","ingresos_pc","ingresos_corrientes_pc","ingresos_tributarios_pc","ingresos_no_trib_pc","transferencias_pc","sgp_pc","recursos_capital_pc","valor_agregado_pc","predios_pc","avaluo_promedio","pct_contributivo","pct_subsidiado","pct_excepcion","pct_sisben_A"
"19001","Popayán",0.387999218684024,9.69908992576707e-05,0.000107894536586391,0.0267712639485498,3.58,2.18,18.93,84.1,348444,17.69,82.31,43.1,"1","Ciudades y aglomeraciones",464,739.25,23.51,66.2,106.67,3.38,3.9,8,54.37,55.95,256.63,39.48,1.30258546528373,12.3326981399985,86.3647163947178,26.677781615515,6.46,0,12.65,81.86,8.74,87.82,6.14,10.92,0,0,4.92,39.92,6.66,99.68,1127.67,17.7,42.55,318.95,5.72,69.3,30.7,96.12,84.9,99.5,75,3,0,103.499692968292,0,4.6641,0.00540654918061695,0,0,0,4.45982711712643,4.86448324551434,210.960269081976,4787768.66805283,4750496.52603575,5001833.59369081,0,14705485.6591016,2660071.47088485,2299561.39057926,571419.288448072,1728142.10213119,1638701.36325493,1035851.11101353,360510.080305587,0.0197012139820655,0.398884756230556,41.3470179654505,47.7442935906697,47.8819759580655,4.37373045126476,32.6135620070944
"19022","Almaguer",0.562525352371654,0.00566128352641015,0.0136491858851204,0.207687937656349,20.6,0.06,22.37,73.32,18432,94.09,5.91,52.02,"6","Rural",224,87.71,-9.84,46.5,57.33,2.24,15.18,15.88,45.68,46.18,0,6.29,35.7102522365633,8.33558706858366,55.954160694853,0.762928255177257,6.49,0,22.15,72.44,6.41,86.27,5.47,25.64,0,0,0,51.53,12.82,92.31,10.95,21.9,32.85,21.9,0.96,7.46,92.54,12.84,8.56,82.47,0.56,3,67.4013265299284,167.760688047708,67.4013265299284,129.5556,0.0809209235323267,0,0,0,1.41059027777778,52.4088541666667,42.7560763888889,11146659.3870985,0,0,0,11287769.7444661,2221890.79036458,2050991.58051215,71920.1075303819,1979071.47298177,1955120.15961372,1108734.48404948,170899.209852431,0.0106509293326829,0.847764756944444,4.17585050556764,2.97760693147843,95.460369760205,1.56202330831655,63.28125
"19050","Argelia",0.238909085592395,0.00484394501688014,0.00235774527420282,0.203243083627791,0.19,0.57,26.28,33.96,27464,90.65,9.35,47.96,"6","Rural disperso",674,41.73,6.55,58.1,92.6,4.77,9.81,10.33,47.25,49.79,0,2.34,21.0962353310796,7.07480080273181,71.8289638661885,0.74129261646099,5.6,0,19,105.56,8.05,78.07,5.34,20.12,0,0,0,92.98,4.02,97.59,34.12,166.82,7.58,22.75,0.94,30.1,69.9,50.17,32.53,89.85,3.25,1,74.9090079405862,141.477743507972,74.9090079405862,175.1367,0.194017443642683,0,1,492.436201780415,111.018060005826,1383.41101077775,12.8804981066123,11631948.6276216,0,0,0,11742275.1569327,2016926.37088552,1885128.90631372,135944.022829886,1749184.88348383,1724776.80487183,888215.838807166,131797.464571803,0.00694547815324082,0.219196038450335,2.76632558139535,2.49245269125985,96.2447537000221,1.26279360871806,81.1498689193126
"19075","Balboa",0.45010901827639,0.00775525992888455,0.0122073320924848,0.245466745884741,0.08,13.03,24.03,56.88,22220,75.27,24.73,51.21,"6","Rural",329,68.84,-10.57,53.4,76.73,5.29,10.16,10.71,47.27,48.17,0,2.1,34.6192853130591,7.95156026724688,57.4291544196941,1.24204856610861,4.38,0,17.2,82.13,11.48,86.89,5.9,8.2,0,0,0,63.54,8.2,90.57,65.82,84.63,56.42,9.4,18.14,21.41,78.59,46.56,28.98,95.46,1.12,87,80.7122459807408,162.570528862067,80.7122459807408,129.9689,0.154751222425147,0,1,349.349544072948,2.02520252025203,200.2700270027,14.2101710171017,10757030.4387939,0,0,0,10873787.8189919,1955443.08087309,1888145.08132313,109866.794779478,1778278.28654365,1749869.38550855,953708.755715572,67297.999549955,0.0143837057082453,0.3496399639964,10.3406281374694,3.36752376937848,95.5271415858742,1.10533464474732,51.1251125112511
"19100","Bolívar",0.500368429949404,0.00304609712951263,0.00628201529723791,0.158401610971324,7.31,5.05,20.8,82.99,38005,88.06,11.94,50.29,"6","Rural",717,55.41,-13.48,48.5,74.46,2.35,10.9,11.72,47.12,48.15,31.54,2.82,30.7673366836739,8.45360555392663,60.7790577623994,1.43701912926916,3.89,0,19.07,85.62,7.71,87.11,6.16,12.85,44.6,0,0,58.23,7.71,96.4,21.43,61.62,13.4,42.86,4.33,11.35,88.65,23.89,18.5,91.59,1.19,13,80.2740578032875,177.728682374013,80.2740578032875,129.5657,0.00577925670928999,0,0,0,0.236810945928167,55.8610709117221,19.9336929351401,11096044.0102618,0,0,0,11167889.5674253,1935739.24552033,1802713.38560716,67825.2457834495,1734888.13982371,1711495.57763452,792390.032206289,133025.859913169,0.00972966927238882,0.676831995790028,1.63606033510866,4.85073622439366,93.6068265632992,1.5424372123072,63.6100513090383
"19110","Buenos Aires",0.449296998852418,0.00637103577277436,0.0100005839773152,0.222576425169483,26.22,66.32,26.58,47.54,33003,97.19,2.81,55.07,"6","Rural",410,87.05,16.6,51.1,65.35,1.88,8.88,9.05,39.67,43.26,0,2.88,40.9332800933521,6.37873620937268,52.6879836972753,2.04860819224064,4.21,0,20.08,62.48,9.94,81.02,5.86,6.01,0,0,0,65.03,6.01,94.59,53.54,78.73,25.19,53.54,1.8,12.71,87.29,51.98,16.54,86.02,2.06,22,62.3510546603733,42.7745771495431,62.3510546603733,96.6106,0.67048460438225,0,1,357.924390243902,0.757506893312729,180.377541435627,16.9175529497318,8017483.46538194,0,0,0,8104184.88316214,1448233.77917159,1351688.7801715,64237.0017271157,1287451.77844438,1265253.00833258,703005.507196315,96544.9990000909,0.0159728256540957,0.292549162197376,6.668,6.27558539381038,92.8934010152284,0.831013590961192,36.1148986455777
"19130","Cajibío",0.508721465589494,0.00347380849470228,0.00729331691925184,0.167873629289616,7.18,3.22,26.87,52.8,45786,95.83,4.17,58.95,"6","Rural",526,85.59,21.06,52.1,71.61,3,11.44,11.95,46.47,47.24,0,3,34.9673819646839,8.61561734107638,56.4170006942397,1.53821452675608,3.97,0,19.88,69.56,6.78,86.5,6.07,8.44,0,0,0,59.55,6.33,94.51,49.48,42.41,21.21,47.13,2.69,5.6,94.4,34.61,8.04,88.84,1.25,21,22.4216274461222,85.5953711370641,22.4216274461222,45.5799,0.18805511534921,0,0,107.897338403042,0.393133272179269,59.6688944218757,13.8125191106452,2134027.31188573,0,0,0,8586545.48182851,1698714.30826017,1464784.17208317,123708.755099812,1341075.41698336,1309028.91728913,681473.968549338,233930.136176997,0.00864490987720602,0.385008517887564,13.0461254821874,4.28993226422741,95.0790250680252,0.631042667747351,41.0824269427336
"19137","Caldono",0.553082146130063,0.00477930967414889,0.0111952566482734,0.191305469864136,75.58,0.31,31.05,37.33,43991,95.77,4.23,64.86,"6","Rural",373,115.88,29.25,50.6,91.52,2.18,11.7,12.05,39.43,42.61,0,3.15,36.5952131594754,8.31996040572655,55.0848264347981,1.48681263351874,3.85,293.26,19.81,75.28,5.14,59.97,3.98,13.2,21.8,43.59,0,79.76,1.47,58.8,39.12,19.56,22.01,12.23,2.14,11.14,88.86,79.43,9.55,91.4,2.05,25,40.6333448601738,66.445023042573,40.6333448601738,71.6375,0.121048926963269,0,1,6.77211796246649,1.4093791911982,38.6897319906344,12.8435361778546,1942036.18490146,0,0,48426.1539633107,8801626.02666455,1584278.81096133,1467311.55445432,57367.7685435657,1409943.78591075,1389706.32515742,714362.991861972,116967.256507013,0.00869698405453087,0.192584846900502,4.2218142115203,4.07802368576175,95.2842827286855,0.637693585552757,13.7550862676457
"19142","Caloto",0.381381786380106,0.00492713566605211,0.00530551647503933,0.190987034374947,52.4,25.35,24.67,51.53,31061,83.22,16.78,51.07,"5","Rural",302,104.48,-18.26,48.21,87.66,2.74,7.97,9.24,43.32,45.45,0,34.8,16.4828555737662,70.5873936509658,12.929750775268,9.54968262863286,4.2,0,19.91,72.86,5.74,87.16,6,10.9,0,0,0,58.82,10.9,86.1,209,129.38,56.4,132.7,3.15,28.12,71.88,54,27.51,92.47,5.37,35,71.2737997770592,42.906770253524,71.2737997770592,99.8173,0.469539639896767,0,1,3.66887417218543,1.35217797237694,77.5248704162777,119.297511348637,10112801.2041467,0,0,119309.914844982,10374547.0180934,1823846.17346512,1788702.38025176,535806.320112038,1252896.06013972,1223441.50806478,656012.493223013,35143.7932133544,0.0791133492345213,0.229548308167799,52.0472692847125,18.5327164573695,80.6609385327165,0.806345009914078,24.9637809471685
"19212","Corinto",0.313138472537286,0.00508776313600209,0.00376871935286487,0.196047121522768,46.54,11.18,23.04,57.2,27157,50.89,49.11,47.75,"6","Intermedio",294,92.21,-10.68,47.25,88.32,3.2,8.68,11.47,45.82,47.99,0,4.44,31.9170300660312,10.1498532166644,57.9331167173043,1.39371903115592,7.55,315.46,12.15,109.14,5.7,90.85,6.25,6.31,0,0,0,65.34,3.15,97.16,82.87,280.17,23.68,39.46,7.84,56.77,43.23,57.59,56.43,96.93,11.01,3,84.595336133337,49.0383110902683,84.595336133337,128.5956,0.219239650993553,0,1,7.31972789115646,1.21515631328939,117.686047796148,33.0669808889053,10096793.2701698,0,0,0,10200113.9168907,1743761.93946312,1665831.31549877,157751.54693081,1508079.76856796,1483634.74076665,771768.710166808,77930.6239643554,0.0132059516733906,0.36163788341864,20.8010080439874,16.2220593624038,82.6053499450348,1.17259069256138,25.7723607173105
